Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Year,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year,Price
Honda,City,ZX,Sedan,Manual,Petrol,2012,74509,1st,Kerala,No,14,5322.071428571428,839509
Maruti Suzuki,Ertiga,Base,MPV,Manual,CNG,2020,150427,1st,Delhi,No,6,25071.166666666668,1254000
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2010,178977,3rd+,West Bengal,No,16,11186.0625,374343
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2013,158129,2nd,Tamil Nadu,No,13,12163.76923076923,436993
Tata,Harrier,XZA+,SUV,Manual,Petrol,2023,159279,1st,Maharashtra,No,3,53093.0,519750
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2019,123917,1st,Maharashtra,No,7,17702.428571428572,462000
Hyundai,Grand i10,Era,Hatchback,Manual,Petrol,2018,56043,2nd,Goa,No,8,7005.375,661861
Mahindra,Bolero,W11,SUV,Automatic,Petrol,2018,125845,2nd,Telangana,No,8,15730.625,528273
Ford,Endeavour,Titanium+,SUV,Manual,Diesel,2009,147808,2nd,Maharashtra,No,17,8694.588235294117,670824
Renault,Kiger,RXZ,SUV,Automatic,Petrol,2021,119889,1st,Tamil Nadu,No,5,23977.8,476437
Chevrolet,Beat,LS,Hatchback,Manual,Electric,2012,41711,1st,Gujarat,No,14,2979.3571428571427,266200
Renault,Kwid,RXL,Hatchback,Manual,Petrol,2017,117393,1st,Delhi,Yes,9,13043.666666666666,780734
Hyundai,Grand i10,SX,Hatchback,Manual,CNG,2015,170118,1st,Rajasthan,No,11,15465.272727272728,426431
Mahindra,TUV300,AX7,SUV,Automatic,Petrol,2019,36933,1st,Tamil Nadu,No,7,5276.142857142857,1156155
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Petrol,2007,109511,2nd,Tamil Nadu,No,19,5763.736842105263,431244
Honda,Amaze,ZX,Sedan,Manual,Diesel,2020,82688,1st,Andhra Pradesh,No,6,13781.333333333334,1695978
Hyundai,i20,Era,Hatchback,Manual,Petrol,2009,87425,3rd+,West Bengal,Yes,17,5142.64705882353,260611
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2009,175444,3rd+,Maharashtra,No,17,10320.235294117647,258637
Mahindra,XUV500,W8(O),SUV,Manual,Petrol,2014,62867,2nd,Odisha,No,12,5238.916666666667,714046
Maruti Suzuki,Alto,ZX,Hatchback,Automatic,Petrol,2023,20032,1st,Gujarat,No,3,6677.333333333333,522720
Renault,Kwid,RXT,Hatchback,Manual,Diesel,2017,93177,1st,Odisha,No,9,10353.0,173565
Maruti Suzuki,Alto,Base,Hatchback,Manual,Petrol,2014,110016,3rd+,Maharashtra,No,12,9168.0,204187
Maruti Suzuki,WagonR,Z,Hatchback,Manual,Diesel,2023,75662,1st,Tamil Nadu,Yes,3,25220.666666666668,814935
Audi,A6,Technology,Sedan,Manual,Petrol,2023,123120,2nd,Maharashtra,No,3,41040.0,1103520
Maruti Suzuki,Dzire,V,Sedan,Automatic,Diesel,2010,116869,2nd,Bihar,No,16,7304.3125,684699
Maruti Suzuki,S-Presso,Z,Hatchback,Manual,Petrol,2020,29637,1st,Karnataka,No,6,4939.5,346500
MG,Hector,Savvy,SUV,Manual,Petrol,2019,164606,2nd,Tamil Nadu,No,7,23515.14285714286,747054
Maruti Suzuki,Ertiga,Z,MPV,Manual,Petrol,2013,156979,3rd+,Maharashtra,No,13,12075.307692307691,464526
Hyundai,Grand i10,SX,Hatchback,Manual,Petrol,2020,78586,1st,Delhi,No,6,13097.666666666666,957000
Honda,City,V,Sedan,Automatic,Petrol,2018,42015,2nd,Maharashtra,No,8,5251.875,566473
Renault,Kwid,RXT,Hatchback,Manual,Diesel,2019,146439,1st,Maharashtra,No,7,20919.85714285714,288750
MG,Hector,Sharp,SUV,Manual,CNG,2021,17621,1st,Delhi,No,5,3524.2,1097250
Volkswagen,Taigun,Trendline,SUV,Manual,Diesel,2023,67275,2nd,Tamil Nadu,No,3,22425.0,1326402
Volkswagen,Ameo,Highline+,Sedan,Manual,Petrol,2016,81159,2nd,Karnataka,No,10,8115.9,392025
Toyota,Glanza,V,Hatchback,Manual,Petrol,2023,54973,1st,Maharashtra,No,3,18324.333333333332,574200
Honda,WR-V,ZX,SUV,Manual,Petrol,2017,127152,2nd,Tamil Nadu,No,9,14128.0,633928
Tata,Altroz,XE,Hatchback,Manual,Petrol,2020,142936,1st,North East,No,6,23822.666666666668,1353750
Maruti Suzuki,Swift,Base,Sedan,Automatic,Petrol,2021,110798,1st,Telangana,No,5,22159.6,1551825
Honda,Brio,S,Hatchback,Automatic,CNG,2013,131304,2nd,Punjab,No,13,10100.307692307691,216220
Maruti Suzuki,Ertiga,Base,MPV,Manual,Diesel,2023,63620,1st,Karnataka,No,3,21206.666666666668,1435500
Honda,WR-V,ZX,SUV,Automatic,Diesel,2020,43968,1st,Delhi,No,6,7328.0,1372140
Volkswagen,Vento,GT,Sedan,Manual,Petrol,2011,165992,3rd+,Maharashtra,Yes,15,11066.133333333333,392825
Kia,Seltos,HTK,SUV,Manual,Petrol,2022,21338,1st,Maharashtra,No,4,5334.5,462000
Honda,City,S,Sedan,Manual,Petrol,2022,98950,1st,Delhi,No,4,24737.5,636405
Toyota,Fortuner,V,SUV,Manual,Petrol,2017,81631,1st,Delhi,No,9,9070.111111111111,1195771
Volkswagen,Vento,Highline+,Sedan,Manual,Diesel,2022,43023,2nd,Delhi,No,4,10755.75,551760
Hyundai,Creta,SX,SUV,Automatic,Electric,2022,83153,1st,Delhi,No,4,20788.25,972694
Skoda,Rapid,Monte Carlo,Sedan,Manual,Petrol,2013,96972,2nd,Maharashtra,No,13,7459.384615384615,836054
Mahindra,Thar,W11,SUV,Manual,Petrol,2023,58436,1st,Maharashtra,No,3,19478.666666666668,904365
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Diesel,2018,58704,1st,Telangana,No,8,7338.0,1125432
Hyundai,Verna,Sportz,Sedan,Manual,CNG,2006,175933,2nd,Karnataka,No,20,8796.65,432441
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2023,16042,1st,Himachal Pradesh,No,3,5347.333333333333,1846800
Maruti Suzuki,Swift,L,Sedan,Manual,Petrol,2023,161528,2nd,Uttar Pradesh,No,3,53842.666666666664,343094
Maruti Suzuki,S-Presso,ZX,Hatchback,Automatic,Petrol,2022,80510,1st,Karnataka,No,4,20127.5,1364299
Volkswagen,Taigun,Highline+,SUV,Manual,Hybrid,2022,77685,1st,Delhi,No,4,19421.25,633055
Honda,WR-V,ZX,SUV,Manual,Diesel,2019,92609,1st,Karnataka,No,7,13229.857142857143,1367399
Maruti Suzuki,Swift,Z,Sedan,Manual,Petrol,2019,137175,1st,Delhi,No,7,19596.428571428572,864084
Volkswagen,Polo,Highline,Hatchback,Manual,Diesel,2019,139690,2nd,Maharashtra,No,7,19955.714285714286,254100
Maruti Suzuki,Baleno,L,Hatchback,Manual,Petrol,2020,94138,2nd,Kerala,No,6,15689.666666666666,837872
Maruti Suzuki,WagonR,V,Hatchback,Manual,Petrol,2002,108725,2nd,Gujarat,No,24,4530.208333333333,479160
Toyota,Innova,G+,MPV,Manual,CNG,2016,138341,2nd,Gujarat,No,10,13834.1,337953
Honda,WR-V,V,SUV,Manual,Petrol,2020,28710,1st,Tamil Nadu,No,6,4785.0,1039500
Ford,Endeavour,Titanium,SUV,Manual,Petrol,2021,142862,1st,Tamil Nadu,No,5,28572.4,606375
Hyundai,Verna,Era,Sedan,Manual,Petrol,2021,132728,1st,Kerala,No,5,26545.6,879937
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Diesel,2023,47837,2nd,Kerala,No,3,15945.666666666666,1123584
Jaguar,XE,Portfolio,Sedan,Automatic,Diesel,2017,59610,1st,Uttar Pradesh,No,9,6623.333333333333,181375
Ford,Aspire,Ambiente,Sedan,Manual,CNG,2015,97737,1st,Tamil Nadu,No,11,8885.181818181818,362750
Audi,Q7,Premium,Luxury,Manual,Petrol,2018,129054,1st,Delhi,No,8,16131.75,1206975
Tata,Harrier,XZA,SUV,Manual,Petrol,2023,123992,2nd,Karnataka,No,3,41330.666666666664,1448370
Maruti Suzuki,Swift,Base,Sedan,Manual,Diesel,2018,75580,1st,Rajasthan,No,8,9447.5,164886
Honda,Amaze,V,Sedan,Manual,Petrol,2021,175230,1st,Punjab,No,5,35046.0,1218375
Skoda,Superb,Monte Carlo,Sedan,Manual,Hybrid,2019,135090,1st,Karnataka,No,7,19298.571428571428,172816
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Diesel,2022,96933,2nd,Punjab,No,4,24233.25,785505
Tata,Altroz,XZA+,Hatchback,Manual,Petrol,2023,100393,2nd,Maharashtra,No,3,33464.333333333336,653400
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Petrol,2015,107773,2nd,Uttar Pradesh,No,11,9797.545454545454,474012
Hyundai,Venue,Asta,SUV,Manual,Petrol,2019,111099,1st,Delhi,Yes,7,15871.285714285714,859838
Maruti Suzuki,Ignis,Z,Hatchback,Manual,CNG,2022,91038,2nd,Uttar Pradesh,No,4,22759.5,1378453
Hyundai,Creta,Sportz,SUV,Manual,Diesel,2021,63241,1st,Delhi,No,5,12648.2,1306305
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2015,116728,1st,Maharashtra,No,11,10611.636363636364,635250
Maruti Suzuki,Ertiga,Z,MPV,Manual,Petrol,2019,74591,1st,Rajasthan,No,7,10655.857142857143,911216
Volkswagen,Ameo,GT,Sedan,Automatic,Petrol,2020,121200,1st,Maharashtra,No,6,20200.0,689700
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Petrol,2018,88115,2nd,Maharashtra,No,8,11014.375,1114177
Maruti Suzuki,Swift,Z,Sedan,Manual,CNG,2011,99045,2nd,Delhi,No,15,6603.0,263357
Mahindra,Bolero,W8(O),SUV,Manual,Petrol,2004,173902,2nd,Karnataka,No,22,7904.636363636364,209632
Maruti Suzuki,S-Presso,Z,Hatchback,Automatic,Petrol,2019,91235,1st,Tamil Nadu,No,7,13033.57142857143,386867
Honda,Brio,VX,Hatchback,Manual,Diesel,2015,72283,2nd,Karnataka,No,11,6571.181818181818,1002170
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2012,127100,2nd,Uttar Pradesh,No,14,9078.57142857143,137595
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2017,129664,1st,Tamil Nadu,No,9,14407.111111111111,1053360
Maruti Suzuki,Ertiga,ZX,MPV,Manual,Petrol,2016,39658,1st,Maharashtra,No,10,3965.8,1330560
BMW,X3,M Sport,Luxury,Manual,Petrol,2022,25908,1st,Goa,No,4,6477.0,731500
Maruti Suzuki,Ignis,Base,Hatchback,Automatic,Petrol,2017,108389,1st,Maharashtra,No,9,12043.222222222223,1143450
Range Rover,Evoque,HSE,Luxury,Manual,Petrol,2012,60239,1st,Rajasthan,No,14,4302.785714285715,600039
Audi,A4,Premium Plus,Sedan,Manual,Petrol,2010,151474,2nd,Madhya Pradesh,No,16,9467.125,98282
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Petrol,2020,48823,1st,Karnataka,No,6,8137.166666666667,2194500
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2018,164725,2nd,Karnataka,No,8,20590.625,926956
Mahindra,Thar,W6,SUV,Manual,Petrol,2021,135793,2nd,Gujarat,No,5,27158.6,914760
Maruti Suzuki,S-Presso,ZX,Hatchback,Manual,Petrol,2022,127603,2nd,Telangana,No,4,31900.75,392040
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Diesel,2015,98936,2nd,Andhra Pradesh,No,11,8994.181818181818,962244
Maruti Suzuki,Baleno,V,Hatchback,Manual,Petrol,2022,46360,1st,Gujarat,Yes,4,11590.0,1248691
Toyota,Fortuner,G+,SUV,Automatic,Diesel,2014,14311,1st,West Bengal,Yes,12,1192.5833333333333,795526
Toyota,Glanza,V,Hatchback,Manual,Petrol,2022,172571,2nd,Madhya Pradesh,No,4,43142.75,250800
Tata,Tiago,XZA+,Hatchback,Manual,Diesel,2020,75900,2nd,Delhi,No,6,12650.0,421080
Renault,Triber,RXL,MPV,Manual,Petrol,2020,61482,2nd,Maharashtra,No,6,10247.0,926376
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2010,120916,3rd+,Maharashtra,No,16,7557.25,517275
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,CNG,2019,131975,2nd,Delhi,No,7,18853.571428571428,677837
Toyota,Glanza,ZX,Hatchback,Manual,Petrol,2019,169014,1st,Karnataka,No,7,24144.85714285714,1185030
Hyundai,i10,Era,Hatchback,Manual,Petrol,2011,51447,1st,Chhattisgarh,No,15,3429.8,500032
Hyundai,Aura,Asta,Sedan,Manual,Diesel,2023,126859,1st,Delhi,No,3,42286.333333333336,470250
Toyota,Glanza,V,Hatchback,Automatic,Petrol,2020,150178,1st,Gujarat,No,6,25029.666666666668,1815000
Maruti Suzuki,Ignis,L,Hatchback,Manual,Petrol,2021,142695,1st,Delhi,Yes,5,28539.0,313026
Renault,Kiger,RXL,SUV,Automatic,Petrol,2022,162177,2nd,Karnataka,No,4,40544.25,1677060
Honda,Jazz,E,Sedan,Manual,Petrol,2017,42655,1st,Karnataka,No,9,4739.444444444444,1170400
Skoda,Slavia,Ambition,Sedan,Manual,Diesel,2022,77915,1st,Karnataka,No,4,19478.75,1636470
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Diesel,2014,42517,2nd,Rajasthan,No,12,3543.0833333333335,283052
Hyundai,Grand i10,Magna,Hatchback,Manual,Diesel,2014,113835,2nd,West Bengal,No,12,9486.25,479160
Maruti Suzuki,Ertiga,Z,MPV,Manual,Diesel,2017,126727,1st,Telangana,No,9,14080.777777777777,181912
Toyota,Etios,ZX,Sedan,Manual,Diesel,2019,16932,2nd,Gujarat,No,7,2418.8571428571427,1320913
Jaguar,F-Pace,Pure,Luxury,Manual,Diesel,2019,33070,2nd,Karnataka,No,7,4724.285714285715,1416184
Honda,Brio,V,Hatchback,Manual,Diesel,2012,155854,3rd+,Maharashtra,No,14,11132.42857142857,374343
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Petrol,2023,12813,1st,Gujarat,No,3,4271.0,1848000
Hyundai,i20,SX(O),Hatchback,Manual,Diesel,2014,163251,2nd,Chhattisgarh,No,12,13604.25,551760
Maruti Suzuki,Dzire,V,Sedan,Manual,Diesel,2010,62742,1st,Delhi,No,16,3921.375,550035
Hyundai,Aura,SX(O),Sedan,Manual,Petrol,2023,179620,1st,Maharashtra,No,3,59873.333333333336,235125
Maruti Suzuki,Ignis,V,Hatchback,Automatic,Petrol,2022,98669,1st,Karnataka,No,4,24667.25,1157970
Hyundai,i10,Sportz,Hatchback,Automatic,Petrol,2011,108745,2nd,Karnataka,No,15,7249.666666666667,614922
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2015,19693,1st,Delhi,No,11,1790.2727272727273,1389850
Renault,Kiger,RXL,SUV,Manual,Diesel,2022,72681,1st,Kerala,Yes,4,18170.25,591999
Maruti Suzuki,Ignis,V,Hatchback,Manual,Electric,2019,151936,1st,Gujarat,No,7,21705.14285714286,381150
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Petrol,2019,36138,1st,Maharashtra,No,7,5162.571428571428,1501038
Maruti Suzuki,Ertiga,L,MPV,Manual,CNG,2013,106518,2nd,West Bengal,No,13,8193.692307692309,145664
Maruti Suzuki,Alto,Base,Hatchback,Manual,CNG,2011,48670,2nd,Kerala,No,15,3244.6666666666665,218405
Hyundai,Creta,SX(O),SUV,Manual,Petrol,2022,138639,2nd,Andhra Pradesh,No,4,34659.75,724185
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Diesel,2018,42918,1st,Telangana,No,8,5364.75,693000
MG,Hector,Smart,SUV,Manual,CNG,2023,147341,1st,Karnataka,No,3,49113.666666666664,658350
Volkswagen,Taigun,Highline+,SUV,Manual,Diesel,2021,112610,2nd,Maharashtra,No,5,22522.0,686070
MG,ZS EV,Savvy,Luxury,Manual,Petrol,2022,167479,1st,Telangana,No,4,41869.75,1542750
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2009,27550,1st,Gujarat,No,17,1620.5882352941176,862125
Maruti Suzuki,Ignis,L,Hatchback,Automatic,Petrol,2018,68929,1st,West Bengal,No,8,8616.125,212224
Maruti Suzuki,S-Presso,V,Hatchback,Manual,Diesel,2019,82194,2nd,Tamil Nadu,No,7,11742.0,766365
Hyundai,Creta,SX(O),SUV,Manual,Diesel,2017,178500,1st,Rajasthan,No,9,19833.333333333332,680793
Mahindra,Scorpio,W11,SUV,Manual,Petrol,2009,63104,2nd,Karnataka,No,17,3712.0,145904
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2003,48091,1st,Gujarat,No,23,2090.913043478261,847000
Maruti Suzuki,Celerio,Z,Hatchback,Automatic,Petrol,2022,13982,1st,Tamil Nadu,No,4,3495.5,2032800
Hyundai,Venue,SX,SUV,Manual,Petrol,2023,40276,1st,Karnataka,No,3,13425.333333333334,577500
