Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year
Maruti Suzuki,Ignis,ZX,Hatchback,0,Hybrid,115147,2,Punjab,0,7,16449.571428571428
Maruti Suzuki,Dzire,V,Sedan,0,Diesel,14811,2,West Bengal,0,7,2115.8571428571427
Maruti Suzuki,WagonR,V,Hatchback,1,Diesel,25559,1,Maharashtra,1,18,1419.9444444444443
Hyundai,Creta,Base,SUV,0,Petrol,120949,1,Delhi,0,10,12094.9
Honda,Brio,VX,Hatchback,0,Petrol,174141,2,Jammu & Kashmir,0,10,17414.1
Hyundai,Verna,Era,Sedan,0,Petrol,50559,1,West Bengal,0,19,2661.0
Mahindra,Thar,W8(O),SUV,0,Petrol,36302,1,Kerala,0,16,2268.875
Toyota,Urban Cruiser,V,SUV,0,Petrol,61372,2,Rajasthan,0,5,12274.4
Maruti Suzuki,Baleno,L,Hatchback,0,Petrol,148194,1,Maharashtra,0,10,14819.4
Mahindra,TUV300,W6,SUV,0,Diesel,108658,2,Maharashtra,0,11,9878.0
Maruti Suzuki,Ignis,Z,Hatchback,1,CNG,150319,1,Kerala,0,3,50106.333333333336
Audi,Q5,Premium Plus,Luxury,0,CNG,106461,2,Delhi,0,3,35487.0
Hyundai,Grand i10,SX,Hatchback,0,Petrol,127725,2,Kerala,0,8,15965.625
Maruti Suzuki,S-Presso,L,Hatchback,0,Petrol,102412,1,Chandigarh,0,4,25603.0
Range Rover,Discovery Sport,HSE,Luxury,0,Petrol,155385,1,Bihar,0,6,25897.5
Hyundai,Grand i10,Magna,Hatchback,0,Diesel,54294,1,Punjab,0,5,10858.8
Maruti Suzuki,S-Presso,ZX,Hatchback,0,CNG,158320,2,Maharashtra,0,4,39580.0
Honda,City,S,Sedan,0,Petrol,119503,2,Tamil Nadu,0,16,7468.9375
Maruti Suzuki,Baleno,ZX,Hatchback,1,Petrol,178333,1,Madhya Pradesh,0,7,25476.14285714286
Maruti Suzuki,Alto,V,Hatchback,0,Petrol,137879,1,Punjab,0,7,19697.0
Range Rover,Discovery Sport,SE,Luxury,0,Petrol,159817,1,Uttar Pradesh,0,3,53272.333333333336
Maruti Suzuki,Celerio,Z,Hatchback,0,Petrol,141905,2,Uttar Pradesh,0,3,47301.666666666664
Mahindra,Scorpio,AX7,SUV,0,Petrol,171009,2,Gujarat,0,6,28501.5
Maruti Suzuki,Celerio,L,Hatchback,0,Petrol,154422,1,Kerala,0,4,38605.5
Hyundai,Aura,Era,Sedan,1,Diesel,161445,2,Delhi,0,3,53815.0
Maruti Suzuki,Ignis,Z,Hatchback,0,Diesel,34038,1,Haryana,0,6,5673.0
Hyundai,Creta,Sportz,SUV,1,Petrol,50757,1,Delhi,0,7,7251.0
Toyota,Fortuner,V,SUV,0,Petrol,159983,2,Maharashtra,0,10,15998.3
Honda,Jazz,VX,Sedan,0,Petrol,87191,2,Delhi,0,17,5128.882352941177
Maruti Suzuki,Ertiga,ZX,MPV,0,Petrol,162676,1,Karnataka,0,9,18075.11111111111
Ford,EcoSport,Trend+,SUV,0,Diesel,143548,1,Telangana,0,7,20506.85714285714
Mahindra,Bolero,AX7,SUV,0,Diesel,126675,2,Tamil Nadu,0,19,6667.105263157895
Renault,Triber,RXE,MPV,0,Diesel,176010,1,Maharashtra,0,5,35202.0
Maruti Suzuki,WagonR,V,Hatchback,0,Petrol,145538,2,Tamil Nadu,0,25,5821.52
Kia,Seltos,GTX+,SUV,0,Diesel,13256,1,Karnataka,0,3,4418.666666666667
Hyundai,Venue,Sportz,SUV,0,Petrol,73961,1,Tamil Nadu,0,4,18490.25
Mahindra,TUV300,AX3,SUV,0,CNG,145979,2,Madhya Pradesh,0,10,14597.9
Tata,Tigor,XZA+,Sedan,0,Petrol,160493,1,Delhi,0,9,17832.555555555555
Maruti Suzuki,Alto,L,Hatchback,0,CNG,135259,1,Karnataka,1,4,33814.75
Maruti Suzuki,Ertiga,Z,MPV,0,Petrol,66796,2,Uttar Pradesh,0,5,13359.2
Volkswagen,Polo,Trendline,Hatchback,0,Petrol,118317,2,Karnataka,0,16,7394.8125
Maruti Suzuki,Ignis,Base,Hatchback,0,Electric,81711,1,Maharashtra,0,5,16342.2
Toyota,Innova,V,MPV,0,Diesel,36349,1,West Bengal,0,6,6058.166666666667
Hyundai,Verna,Sportz,Sedan,0,Diesel,159789,2,Gujarat,0,14,11413.5
Toyota,Innova,E,MPV,0,Petrol,102432,3,Delhi,0,12,8536.0
Hyundai,i20,Era,Hatchback,1,Petrol,110656,2,Punjab,0,4,27664.0
Toyota,Innova,E,MPV,0,Petrol,92089,3,Telangana,0,19,4846.789473684211
Hyundai,i10,Era,Hatchback,0,Petrol,38218,1,Karnataka,0,18,2123.222222222222
Renault,Triber,RXT,MPV,0,Petrol,110180,1,Delhi,0,4,27545.0
Hyundai,Creta,Era,SUV,0,Petrol,96631,1,Delhi,0,10,9663.1
Mahindra,Scorpio,AX5,SUV,0,Diesel,174371,2,Delhi,0,21,8303.380952380952
Tata,Altroz,XT,Hatchback,0,Petrol,13734,1,Tamil Nadu,0,4,3433.5
Hyundai,Creta,Asta,SUV,0,Petrol,149915,1,Delhi,0,9,16657.222222222223
Mahindra,TUV300,W11,SUV,0,Diesel,105130,1,Karnataka,0,11,9557.272727272728
BMW,X1,Luxury Line,Luxury,0,Petrol,132170,1,Gujarat,0,9,14685.555555555555
Maruti Suzuki,Swift,ZX,Sedan,0,Petrol,77907,2,Karnataka,0,14,5564.785714285715
Maruti Suzuki,Dzire,L,Sedan,0,Petrol,178036,2,Rajasthan,0,14,12716.857142857143
Mahindra,Thar,W11,SUV,0,Diesel,79016,1,Tamil Nadu,0,16,4938.5
Maruti Suzuki,Alto,L,Hatchback,0,Petrol,29547,1,West Bengal,0,4,7386.75
Mahindra,XUV500,W6,SUV,0,Petrol,121930,2,Gujarat,0,11,11084.545454545454
Tata,Nexon,XM,SUV,0,Petrol,137768,1,Uttar Pradesh,0,7,19681.14285714286
Kia,Seltos,HTK+,SUV,0,Petrol,50920,1,Maharashtra,0,3,16973.333333333332
Honda,City,VX,Sedan,0,Diesel,151724,2,Tamil Nadu,0,23,6596.695652173913
Maruti Suzuki,Alto,ZX,Hatchback,1,Petrol,20032,1,Gujarat,0,3,6677.333333333333
Volkswagen,Polo,Highline+,Hatchback,0,Petrol,89515,2,Rajasthan,0,12,7459.583333333333
Hyundai,Grand i10,SX(O),Hatchback,0,Petrol,26403,1,Punjab,0,6,4400.5
Hyundai,Aura,SX(O),Sedan,0,CNG,92235,2,Karnataka,0,3,30745.0
Honda,Amaze,VX,Sedan,0,Petrol,116441,1,Kerala,1,4,29110.25
Hyundai,Grand i10,SX,Hatchback,0,Diesel,52033,1,Delhi,0,8,6504.125
Maruti Suzuki,Celerio,Z,Hatchback,0,Diesel,17355,1,Andhra Pradesh,0,9,1928.3333333333333
Honda,WR-V,ZX,SUV,0,Diesel,42222,2,Karnataka,0,4,10555.5
Maruti Suzuki,Ignis,V,Hatchback,0,Diesel,94047,1,Odisha,0,9,10449.666666666666
Tata,Harrier,XZ,SUV,0,Petrol,163488,2,Gujarat,0,6,27248.0
Maruti Suzuki,WagonR,V,Hatchback,0,CNG,149452,1,Delhi,1,5,29890.4
Maruti Suzuki,Ertiga,Z,MPV,0,Petrol,120040,1,Maharashtra,0,8,15005.0
Honda,Brio,VX,Hatchback,0,Petrol,100230,1,Gujarat,0,8,12528.75
Hyundai,Venue,Era,SUV,0,Petrol,18790,1,West Bengal,0,6,3131.6666666666665
Maruti Suzuki,S-Presso,V,Hatchback,0,Petrol,108288,1,Rajasthan,0,6,18048.0
Tata,Tigor,XZA,Sedan,1,Petrol,101790,1,Andhra Pradesh,0,4,25447.5
Maruti Suzuki,Ignis,Z,Hatchback,0,Petrol,74331,2,Karnataka,0,7,10618.714285714286
Maruti Suzuki,WagonR,Base,Hatchback,0,Petrol,37482,2,Maharashtra,0,21,1784.857142857143
Hyundai,Creta,Base,SUV,0,CNG,59197,2,Karnataka,1,3,19732.333333333332
Volkswagen,Polo,Trendline,Hatchback,0,CNG,130671,1,Delhi,0,6,21778.5
Maruti Suzuki,WagonR,V,Hatchback,0,Petrol,19472,1,Rajasthan,0,24,811.3333333333334
Audi,Q7,Technology,Luxury,0,Diesel,100270,1,West Bengal,0,8,12533.75
Maruti Suzuki,S-Presso,L,Hatchback,0,Petrol,25240,1,Maharashtra,0,5,5048.0
Maruti Suzuki,Baleno,ZX,Hatchback,0,Petrol,92581,1,Delhi,0,7,13225.857142857143
Audi,A6,Premium,Sedan,0,Petrol,151727,2,Telangana,1,14,10837.642857142857
Maruti Suzuki,Baleno,Base,Hatchback,0,Diesel,175219,1,Karnataka,0,10,17521.9
Maruti Suzuki,Swift,Z,Sedan,0,Petrol,125580,3,Kerala,0,20,6279.0
Tata,Tigor,XM,Sedan,0,Petrol,124703,1,Maharashtra,0,4,31175.75
Maruti Suzuki,Ertiga,V,MPV,0,Petrol,68995,2,Maharashtra,0,12,5749.583333333333
Maruti Suzuki,S-Presso,Base,Hatchback,0,Petrol,17795,1,Karnataka,1,7,2542.1428571428573
Maruti Suzuki,Baleno,ZX,Hatchback,0,Petrol,24065,1,Tamil Nadu,0,8,3008.125
Kia,Sonet,GTX,SUV,1,Diesel,84818,2,Karnataka,0,6,14136.333333333334
Maruti Suzuki,Celerio,Z,Hatchback,0,Petrol,102039,1,Maharashtra,0,9,11337.666666666666
Maruti Suzuki,Swift,Base,Sedan,0,Diesel,167484,3,Delhi,0,21,7975.428571428572
Maruti Suzuki,Ignis,ZX,Hatchback,0,Diesel,103290,1,Maharashtra,0,9,11476.666666666666
Hyundai,Creta,Magna,SUV,1,Diesel,137714,2,Delhi,0,3,45904.666666666664
Maruti Suzuki,S-Presso,Z,Hatchback,0,Petrol,139752,1,Tamil Nadu,0,3,46584.0
Mahindra,Scorpio,AX7,SUV,1,CNG,137173,1,Karnataka,0,9,15241.444444444445
Toyota,Fortuner,ZX,SUV,0,CNG,102034,1,Maharashtra,0,9,11337.111111111111
Honda,Brio,VX,Hatchback,0,Petrol,71737,2,Karnataka,0,8,8967.125
Maruti Suzuki,Ertiga,ZX,MPV,0,Petrol,100139,3,Delhi,0,14,7152.785714285715
Hyundai,Venue,SX(O),SUV,0,Petrol,13847,2,Kerala,0,7,1978.142857142857
Maruti Suzuki,Baleno,ZX,Hatchback,0,CNG,10826,1,Tamil Nadu,0,6,1804.3333333333333
Honda,Jazz,ZX,Sedan,0,Diesel,131782,2,Maharashtra,0,15,8785.466666666667
Hyundai,i10,SX,Hatchback,0,Petrol,61966,2,Karnataka,1,15,4131.066666666667
Maruti Suzuki,Dzire,V,Sedan,0,Petrol,26098,1,Rajasthan,0,6,4349.666666666667
Hyundai,Aura,Era,Sedan,0,Diesel,44734,2,West Bengal,0,5,8946.8
Mahindra,XUV500,W6,SUV,1,CNG,97074,1,Telangana,0,8,12134.25
Chevrolet,Cruze,LS,Sedan,0,Petrol,91260,3,Karnataka,0,14,6518.571428571428
Hyundai,Aura,Magna,Sedan,0,Petrol,122478,2,Gujarat,0,5,24495.6
Maruti Suzuki,Ignis,Z,Hatchback,1,Diesel,85435,2,Delhi,0,4,21358.75
Mahindra,TUV300,W8(O),SUV,1,Petrol,85411,2,Rajasthan,0,9,9490.111111111111
Tata,Altroz,XE,Hatchback,1,Petrol,77804,2,Maharashtra,1,5,15560.8
Honda,Brio,V,Hatchback,1,Petrol,161513,1,Delhi,0,8,20189.125
Maruti Suzuki,Dzire,L,Sedan,0,CNG,70487,1,Haryana,0,7,10069.57142857143
Toyota,Fortuner,V,SUV,0,Diesel,131103,2,Andhra Pradesh,0,6,21850.5
Maruti Suzuki,Alto,L,Hatchback,1,Diesel,61976,1,Maharashtra,0,12,5164.666666666667
Hyundai,Grand i10,SX,Hatchback,1,Diesel,56087,1,Gujarat,0,13,4314.384615384615
Renault,Kwid,RXT,Hatchback,0,Petrol,143338,2,Telangana,0,6,23889.666666666668
Maruti Suzuki,Swift,ZX,Sedan,0,Petrol,22175,1,Delhi,0,13,1705.7692307692307
Maruti Suzuki,Alto,Z,Hatchback,1,Petrol,133017,1,Maharashtra,0,11,12092.454545454546
Maruti Suzuki,Celerio,ZX,Hatchback,0,CNG,59852,2,Odisha,0,3,19950.666666666668
Hyundai,Grand i10,SX(O),Hatchback,0,Petrol,26871,1,Telangana,1,4,6717.75
Maruti Suzuki,Celerio,V,Hatchback,0,Petrol,45376,1,Delhi,1,12,3781.3333333333335
Maruti Suzuki,WagonR,Base,Hatchback,1,Diesel,68622,2,Punjab,0,22,3119.181818181818
Honda,Jazz,S,Sedan,1,Petrol,23538,1,Kerala,0,9,2615.3333333333335
Mahindra,Scorpio,W4,SUV,0,Petrol,98030,2,Gujarat,0,13,7540.7692307692305
Maruti Suzuki,S-Presso,L,Hatchback,0,CNG,136420,1,Kerala,1,3,45473.333333333336
Hyundai,Aura,Base,Sedan,0,Diesel,34221,1,Karnataka,0,3,11407.0
Maruti Suzuki,Alto,Z,Hatchback,1,Electric,36125,1,Telangana,0,6,6020.833333333333
Maruti Suzuki,Swift,L,Sedan,0,Petrol,168124,2,Odisha,0,20,8406.2
Hyundai,Aura,Sportz,Sedan,0,Petrol,28075,1,Tamil Nadu,0,5,5615.0
Honda,WR-V,E,SUV,0,Diesel,135164,2,Delhi,0,9,15018.222222222223
Maruti Suzuki,Dzire,L,Sedan,0,Petrol,147616,3,Gujarat,0,18,8200.888888888889
Honda,Jazz,VX,Sedan,0,Petrol,93079,2,Odisha,0,5,18615.8
Toyota,Innova,VX,MPV,0,Diesel,104347,2,Karnataka,0,7,14906.714285714286
Honda,Brio,V,Hatchback,0,Diesel,176620,2,Gujarat,0,7,25231.428571428572
Mahindra,Thar,W6,SUV,0,Diesel,88351,1,Maharashtra,0,5,17670.2
Hyundai,i20,Base,Hatchback,0,Petrol,106563,2,Karnataka,0,14,7611.642857142857
Mahindra,Scorpio,W8,SUV,0,Diesel,68444,2,Tamil Nadu,0,22,3111.090909090909
Maruti Suzuki,Baleno,Base,Hatchback,0,Diesel,133144,1,Karnataka,0,5,26628.8
Mahindra,XUV500,W10,SUV,1,CNG,47789,2,Karnataka,0,9,5309.888888888889
Mahindra,XUV500,W6,SUV,0,Petrol,32775,1,Karnataka,0,15,2185.0
Hyundai,i20,Magna,Hatchback,0,Petrol,50899,1,Delhi,0,15,3393.266666666667
Maruti Suzuki,Dzire,V,Sedan,0,Petrol,78143,2,Uttar Pradesh,0,3,26047.666666666668
Jaguar,XE,R-Dynamic,Sedan,0,CNG,72455,2,Tamil Nadu,0,5,14491.0
Tata,Tigor,XM,Sedan,0,Petrol,67897,1,Maharashtra,0,3,22632.333333333332
Maruti Suzuki,S-Presso,ZX,Hatchback,0,CNG,13741,1,Rajasthan,0,7,1963.0
Hyundai,Creta,Asta,SUV,0,Petrol,153601,1,West Bengal,0,5,30720.2
Hyundai,Venue,SX,SUV,0,Petrol,41642,1,Delhi,0,4,10410.5
Nissan,Terrano,XV,SUV,0,Petrol,113490,1,Madhya Pradesh,0,10,11349.0
Ford,EcoSport,Sports,SUV,0,Petrol,16283,1,Gujarat,0,5,3256.6
Volkswagen,Polo,GT,Hatchback,0,CNG,105414,2,West Bengal,0,12,8784.5
Maruti Suzuki,Ertiga,V,MPV,0,Diesel,34700,1,Delhi,1,5,6940.0
Maruti Suzuki,Dzire,V,Sedan,0,Petrol,109493,2,Kerala,0,16,6843.3125
Honda,Brio,ZX,Hatchback,0,Petrol,19207,1,Tamil Nadu,0,10,1920.7
Honda,Amaze,VX,Sedan,0,Diesel,177664,1,Andhra Pradesh,1,7,25380.571428571428
Maruti Suzuki,Swift,L,Sedan,0,Petrol,105445,3,Delhi,0,13,8111.153846153846
Toyota,Fortuner,V,SUV,0,Diesel,88955,2,Karnataka,0,13,6842.692307692308
Skoda,Superb,Ambition,Sedan,0,Diesel,38116,1,Delhi,0,17,2242.1176470588234
Ford,Figo,Trend+,Sedan,0,Petrol,49376,2,Karnataka,0,16,3086.0
Mahindra,Bolero,W6,SUV,0,Diesel,79285,2,Andhra Pradesh,0,8,9910.625
Maruti Suzuki,S-Presso,Base,Hatchback,0,Diesel,120233,1,Maharashtra,0,5,24046.6
Renault,Duster,RXZ,SUV,0,Petrol,157229,2,Tamil Nadu,0,7,22461.285714285714
Tata,Tigor,XE,Sedan,0,CNG,114851,1,Tamil Nadu,0,4,28712.75
Hyundai,i10,Era,Hatchback,1,Petrol,50595,1,Gujarat,0,16,3162.1875
Maruti Suzuki,Baleno,L,Hatchback,0,Petrol,147762,2,Delhi,0,5,29552.4
Mahindra,Bolero,AX7,SUV,0,Petrol,42128,1,Jharkhand,0,15,2808.5333333333333
Mahindra,TUV300,AX5,SUV,0,Hybrid,92877,2,Punjab,0,9,10319.666666666666
Hyundai,Aura,Magna,Sedan,0,Petrol,77231,1,Gujarat,1,4,19307.75
Mahindra,Scorpio,W8(O),SUV,0,Petrol,50965,1,Kerala,0,6,8494.166666666666
Maruti Suzuki,Ertiga,L,MPV,0,Diesel,97986,1,Rajasthan,0,8,12248.25
Maruti Suzuki,Swift,Z,Sedan,1,Diesel,176602,2,Delhi,0,18,9811.222222222223
Maruti Suzuki,Baleno,Base,Hatchback,0,Petrol,131888,2,West Bengal,0,10,13188.8
Hyundai,Creta,Base,SUV,1,Diesel,152105,1,Karnataka,0,4,38026.25
Audi,Q3,Premium Plus,Luxury,0,Electric,55946,1,Delhi,0,10,5594.6
Kia,Sonet,HTK,SUV,0,Diesel,160250,1,Maharashtra,1,3,53416.666666666664
Skoda,Kushaq,Ambition,SUV,1,Petrol,159048,1,Maharashtra,0,4,39762.0
Maruti Suzuki,Celerio,Base,Hatchback,0,Petrol,118176,2,Rajasthan,0,6,19696.0
Ford,Figo,Titanium+,Sedan,0,Hybrid,39776,2,Maharashtra,0,12,3314.6666666666665
Mahindra,Thar,W8(O),SUV,1,Diesel,33769,1,Maharashtra,0,13,2597.6153846153848
Volkswagen,Vento,Comfortline,Sedan,1,Petrol,109370,2,Tamil Nadu,0,12,9114.166666666666
Hyundai,i20,Sportz,Hatchback,1,Petrol,25601,1,Delhi,0,14,1828.642857142857
Hyundai,Aura,SX(O),Sedan,0,Diesel,176246,2,Rajasthan,1,5,35249.2
Tata,Tiago,XZA,Hatchback,0,CNG,139087,2,West Bengal,1,3,46362.333333333336
Maruti Suzuki,Alto,V,Hatchback,0,CNG,139730,2,Andhra Pradesh,0,22,6351.363636363636
Volkswagen,Polo,Highline,Hatchback,0,Petrol,175751,3,Telangana,0,12,14645.916666666666
Maruti Suzuki,Celerio,Z,Hatchback,0,Petrol,174274,1,Kerala,0,6,29045.666666666668
Nissan,Magnite,XL,SUV,0,Diesel,105134,2,Uttar Pradesh,0,4,26283.5
Hyundai,Venue,Era,SUV,1,Petrol,66594,2,Kerala,0,3,22198.0
Maruti Suzuki,Baleno,ZX,Hatchback,0,Diesel,75063,1,Maharashtra,0,3,25021.0
Maruti Suzuki,Alto,Z,Hatchback,0,Petrol,29865,1,Karnataka,0,4,7466.25
Mahindra,XUV500,W11,SUV,0,Hybrid,157209,2,Tamil Nadu,0,15,10480.6
Maruti Suzuki,WagonR,L,Hatchback,0,Petrol,124173,2,Karnataka,0,14,8869.5
Tata,Tigor,XE,Sedan,0,CNG,116557,1,Maharashtra,0,9,12950.777777777777
Maruti Suzuki,Ignis,V,Hatchback,0,Diesel,136362,2,Maharashtra,0,5,27272.4
Maruti Suzuki,Swift,L,Sedan,0,Diesel,30277,2,Tamil Nadu,0,16,1892.3125
Maruti Suzuki,Swift,Z,Sedan,0,Petrol,156850,3,Tamil Nadu,0,16,9803.125
Mahindra,TUV300,W11,SUV,0,Petrol,25359,2,West Bengal,0,10,2535.9
Maruti Suzuki,Ertiga,L,MPV,0,Petrol,120987,2,Gujarat,0,12,10082.25
Toyota,Fortuner,V,SUV,1,Diesel,36326,2,Madhya Pradesh,0,16,2270.375
Tata,Tiago,XZ,Hatchback,0,Petrol,142799,1,Karnataka,0,5,28559.8
Toyota,Etios,V,Sedan,0,Petrol,74227,1,Karnataka,0,9,8247.444444444445
Tata,Harrier,XZ,SUV,1,Diesel,154548,1,Gujarat,0,6,25758.0
Hyundai,Verna,Base,Sedan,0,Diesel,144713,1,Maharashtra,0,4,36178.25
Hyundai,Venue,Magna,SUV,0,Diesel,31541,1,Karnataka,0,4,7885.25
Toyota,Fortuner,VX,SUV,0,Petrol,144795,3,Telangana,0,17,8517.35294117647
Maruti Suzuki,Swift,Base,Sedan,0,Petrol,143774,1,Bihar,0,3,47924.666666666664
MG,Astor,Savvy,SUV,0,Petrol,162861,1,West Bengal,1,4,40715.25
